PacketCounter;SchouderLinks_EUL;SchouderLinks_ACC;SchouderLinks_GYR;BovenLinks_ACC;BovenLinks_QUAT;BovenLinks_GYR;OnderLinks_ACC;OnderLinks_EUL;OnderLinks_GYR;Sternum_ACC;Sternum_QUAT;Sternum_GYR;SchouderRechts_ACC;SchouderRechts_QUAT;SchouderRechts_GYR;BovenRechts_ACC;BovenRechts_QUAT;BovenRechts_GYR;OnderRechts_ACC;OnderRechts_QUAT;OnderRechts_GYR
0;156,5315976;0;0;0;0,63112764;0;0;184,638746;0;0;0,720692222;0,564453125;0;0,999594671;0;0;0,885825835;0;0;0,942464514;0
1;156,5423392;9,847622654;5,865024066;10,0356784;0,631196817;3,218718491;9,983279156;184,6323902;0,702702594;1,646358189;1,232595339;2,81917234;10,12663965;0,999592689;3,436884666;9,922094964;0,885765169;1,490099232;9,963356875;0,942478542;3,082243498
2;156,5505941;9,866626633;5,847652428;10,0046077;0,631258711;2,85132323;9,979609378;184,6238112;0,706913104;1,65605927;1,232576988;2,258408224;10,11088559;0,999591574;3,321055351;9,930519353;0,88569953;1,619863797;9,974238976;0,942500639;3,164248539
3;156,5533953;9,839077703;5,932936537;10,00633953;0,631317114;2,935046559;9,961475981;184,6151221;0,725797051;1,824368498;1,232565074;2,123715547;10,09992042;0,999590457;3,233788407;9,936875639;0,885642217;1,564392262;9,997965229;0,942524002;3,006032572
4;156,5520079;9,858410005;6,062929839;9,989687436;0,631368441;3,405596548;9,956094996;184,6060375;0,768474077;2,060913169;1,232554587;2,195220439;10,10230703;0,999589406;3,25414141;9,918524181;0,88559397;1,295294499;9,975897115;0,942537838;2,853882245
5;156,5487339;9,864885862;6,227515637;9,992114103;0,631424438;3,888703262;9,978953629;184,5995867;0,723019231;2,050071058;1,232545055;2,397365077;10,0868083;0,999587733;3,227756917;9,910586206;0,885551333;1,168638248;9,981723842;0,942549712;2,80943176
6;156,5463643;9,888345179;6,399956542;10,0066538;0,631488057;4,028066634;9,953304394;184,5962982;0,69992424;1,959639281;1,232541199;2,357801402;10,07982994;0,999586737;3,257914826;9,911848497;0,885515836;1,024549985;10,00265346;0,942567044;2,88628849
7;156,5452279;9,891124553;6,169667801;10,03088561;0,63155874;3,998852357;9,977046244;184,5953758;0,655559016;1,822982498;1,23253779;2,413994753;10,06239383;0,999585919;3,150041652;9,88356871;0,885476211;1,082625566;9,992189423;0,942586778;2,790811279
8;156,5481208;9,898907421;5,896609238;10,0369946;0,631639653;4,048714192;9,990777786;184,5963739;0,570171681;1,829595753;1,232524556;2,566009766;10,06207988;0,999585602;3,185045657;9,898051448;0,885438115;1,080927107;9,955439207;0,942603105;2,768044237
9;156,5550473;9,894027908;5,738604709;10,05225638;0,631724523;3,811047513;9,978884088;184,5958643;0,486003133;1,703855276;1,232501626;2,627453051;10,08566405;0,999584734;3,288506716;9,903352692;0,885403351;1,020643314;9,970170795;0,942615055;2,743943486
10;156,5635809;9,867133865;5,659011367;10,06042734;0,631802495;3,386160399;10,00057084;184,5927063;0,441632331;1,710148095;1,232479971;2,498618583;10,12501295;0,999583465;3,297899194;9,910859924;0,885380963;0,950305643;9,987117707;0,942625452;2,776289425
11;156,567989;9,834745771;5,690928538;10,01981998;0,631878713;3,144035876;9,972321928;184,5889975;0,410168175;1,670437189;1,232472261;2,198263014;10,11827808;0,999582856;3,161380704;9,926112298;0,885359419;0,94435806;9,99108871;0,942634369;2,847304213
12;156,5676157;9,862429641;5,861852544;9,994832188;0,63193001;3,156287666;9,946228723;184,5838257;0,523330272;1,666352074;1,232467865;2,049800311;10,11247812;0,999582182;3,151322731;9,921238466;0,885330906;1,008118329;9,976496642;0,942642162;2,781920145
13;156,5682824;9,874623754;5,999090634;9,988355552;0,631959099;3,295058403;9,938086863;184,5768596;0,81339783;1,598679836;1,232446777;2,351845692;10,09586234;0,999581292;3,227501344;9,921297472;0,885298846;1,040290304;9,964658741;0,94265061;2,650622462
14;156,5705975;9,91554211;6,015060956;10,01206782;0,631980923;3,352728838;9,966647666;184,5671742;1,142610067;1,616172032;1,232422862;2,423958883;10,09732213;0,999580207;3,342963136;9,907810372;0,885258315;1,100478559;9,968682743;0,942659338;2,805044917
15;156,5771325;9,897829041;5,879329923;10,04809655;0,632011806;3,272824791;9,999411608;184,5576174;0,975388121;1,615839483;1,232371023;2,964193359;10,11928403;0,999578977;3,334293369;9,920964384;0,885231298;0,946941319;9,968021663;0,942664908;2,861834872
16;156,586372;9,87979801;5,819497324;10,05241027;0,632060443;3,078036523;9,999274126;184,5502128;0,648571083;1,656036799;1,232322221;2,923851524;10,13155135;0,999577526;3,28357261;9,908585427;0,885201147;0,955020207;9,964470057;0,942668627;2,860763125
17;156,5940024;9,875637326;5,871501576;10,02800012;0,632128163;3,056732824;9,972788434;184,5457792;0,417231428;1,704910845;1,232291173;2,626053469;10,12733329;0,999576288;3,204342768;9,927562233;0,88516462;1,096762613;9,998217314;0,942672791;2,890097559
18;156,5963147;9,8630101;5,853462178;10,03918135;0,632197283;3,149066046;9,969715169;184,5436416;0,330347515;1,72665788;1,232270415;2,467133587;10,08871365;0,999574653;3,329230903;9,903927689;0,885119099;1,266718944;9,986951868;0,942679041;2,836628512
19;156,5950062;9,877849702;5,927128796;10,0181117;0,632264182;3,255526618;9,968119938;184,5422906;0,436731257;1,720193736;1,232249923;2,46696356;10,11908842;0,999573397;3,188445715;9,916002815;0,885075335;1,257709737;9,976394771;0,942682746;2,761183891
20;156,5893032;9,897704755;5,870495709;10,02183246;0,632314884;3,573778202;9,966410417;184,5433998;0,505315756;1,766526186;1,232229866;2,457230335;10,13268864;0,999572535;3,107602519;9,93526497;0,885024575;1,445117917;9,967119227;0,942688426;3,002319756
